"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.topic_1","Answer.topic_2","Answer.topic_3","Answer.topic_4","Approve","Reject"
"3H6W48L9F4GAQN6GFWUM8LKVNO1WPM","3PCDMC3F65SCD7JJHVLDY7J0H612X3","List Topics you are Knowledgeable About","List the top 4 topics that you are familiar with","knowledge, topics, survey","$0.01","Fri Apr 12 12:44:10 PDT 2019","500","BatchId:3605249;OriginalHitTemplateId:928390855;","3600","259200","Tue Apr 30 12:01:56 PDT 2019","","","3018Q3ZVOJH0H7HMHL7LJBJ63TORAY","A3L8C3IF955Z65","Approved","Sat Apr 13 20:33:13 PDT 2019","Sat Apr 13 20:34:59 PDT 2019","Tue Apr 16 20:34:59 PDT 2019","2019-04-17 03:35:10 UTC","","","106","100% (1/1)","100% (1/1)","0% (0/0)","Spanish language","immigrant issues","human trafficking","government benefits"
"3H6W48L9F4GAQN6GFWUM8LKVNO1WPM","3PCDMC3F65SCD7JJHVLDY7J0H612X3","List Topics you are Knowledgeable About","List the top 4 topics that you are familiar with","knowledge, topics, survey","$0.01","Fri Apr 12 12:44:10 PDT 2019","500","BatchId:3605249;OriginalHitTemplateId:928390855;","3600","259200","Tue Apr 30 12:01:56 PDT 2019","","","304SM51WA4VH1WMR2O7M4W887BDSBZ","A1YCPB5INBVCGW","Approved","Sat Apr 13 12:04:10 PDT 2019","Sat Apr 13 12:05:12 PDT 2019","Tue Apr 16 12:05:12 PDT 2019","2019-04-16 19:05:16 UTC","","","62","100% (1/1)","100% (1/1)","0% (0/0)","Orchestral conducting","string methods for teaching group lessons","rehearsal methods for any ensemble q","general music theory"
"3H6W48L9F4GAQN6GFWUM8LKVNO1WPM","3PCDMC3F65SCD7JJHVLDY7J0H612X3","List Topics you are Knowledgeable About","List the top 4 topics that you are familiar with","knowledge, topics, survey","$0.01","Fri Apr 12 12:44:10 PDT 2019","500","BatchId:3605249;OriginalHitTemplateId:928390855;","3600","259200","Tue Apr 30 12:01:56 PDT 2019","","","304SM51WA4VH1WMR2O7M4W887D2BSB","A1UJ2M1AKWMNLC","Approved","Sat Apr 13 22:34:38 PDT 2019","Sat Apr 13 22:35:37 PDT 2019","Tue Apr 16 22:35:37 PDT 2019","2019-04-17 05:36:07 UTC","","","59","100% (1/1)","100% (1/1)","0% (0/0)","DJing","Rugby","Backpacking Asia","Traveling europe"
"3H6W48L9F4GAQN6GFWUM8LKVNO1WPM","3PCDMC3F65SCD7JJHVLDY7J0H612X3","List Topics you are Knowledgeable About","List the top 4 topics that you are familiar with","knowledge, topics, survey","$0.01","Fri Apr 12 12:44:10 PDT 2019","500","BatchId:3605249;OriginalHitTemplateId:928390855;","3600","259200","Tue Apr 30 12:01:56 PDT 2019","","","308Q0PEVB949JP4YZSZC9O7VAJR9I9","ASTDBTVY3WP1K","Approved","Sun Apr 14 16:12:13 PDT 2019","Sun Apr 14 16:13:40 PDT 2019","Wed Apr 17 16:13:40 PDT 2019","2019-04-17 23:14:04 UTC","","","87","100% (1/1)","100% (1/1)","0% (0/0)","American politics","professional cycling","American football","literature"
"3H6W48L9F4GAQN6GFWUM8LKVNO1WPM","3PCDMC3F65SCD7JJHVLDY7J0H612X3","List Topics you are Knowledgeable About","List the top 4 topics that you are familiar with","knowledge, topics, survey","$0.01","Fri Apr 12 12:44:10 PDT 2019","500","BatchId:3605249;OriginalHitTemplateId:928390855;","3600","259200","Tue Apr 30 12:01:56 PDT 2019","","","308XBLVESJV50HMENZ7HEM3CM9OBRP","APCQECEBGNWZK","Approved","Thu Apr 18 18:19:45 PDT 2019","Thu Apr 18 18:20:48 PDT 2019","Sun Apr 21 18:20:48 PDT 2019","2019-04-22 01:21:02 UTC","","","63","100% (1/1)","100% (1/1)","0% (0/0)","TV Trivia","American History","Golden Age of Piracy",""
"3H6W48L9F4GAQN6GFWUM8LKVNO1WPM","3PCDMC3F65SCD7JJHVLDY7J0H612X3","List Topics you are Knowledgeable About","List the top 4 topics that you are familiar with","knowledge, topics, survey","$0.01","Fri Apr 12 12:44:10 PDT 2019","500","BatchId:3605249;OriginalHitTemplateId:928390855;","3600","259200","Tue Apr 30 12:01:56 PDT 2019","","","30IQTZXKALXODQ5GYIGKJNTHWDQ0XK","AGNVZ2MPAQWPE","Approved","Wed Apr 17 19:22:20 PDT 2019","Wed Apr 17 19:22:38 PDT 2019","Sat Apr 20 19:22:38 PDT 2019","2019-04-21 02:23:03 UTC","","","18","100% (1/1)","100% (1/1)","0% (0/0)","Video Games","Computers","Cooking","Photography"
"3H6W48L9F4GAQN6GFWUM8LKVNO1WPM","3PCDMC3F65SCD7JJHVLDY7J0H612X3","List Topics you are Knowledgeable About","List the top 4 topics that you are familiar with","knowledge, topics, survey","$0.01","Fri Apr 12 12:44:10 PDT 2019","500","BatchId:3605249;OriginalHitTemplateId:928390855;","3600","259200","Tue Apr 30 12:01:56 PDT 2019","","","30JNVC0ORABFFTA0ACSDV7W5N6GHQD","A1NNMYSSHXFMSH","Approved","Mon Apr 29 08:31:30 PDT 2019","Mon Apr 29 08:31:43 PDT 2019","Thu May 02 08:31:43 PDT 2019","Tue Apr 30 22:53:05 PDT 2019","","","13","100% (1/1)","100% (1/1)","100% (1/1)","Special","","",""
"3H6W48L9F4GAQN6GFWUM8LKVNO1WPM","3PCDMC3F65SCD7JJHVLDY7J0H612X3","List Topics you are Knowledgeable About","List the top 4 topics that you are familiar with","knowledge, topics, survey","$0.01","Fri Apr 12 12:44:10 PDT 2019","500","BatchId:3605249;OriginalHitTemplateId:928390855;","3600","259200","Tue Apr 30 12:01:56 PDT 2019","","","30ZX6P7VF9MUEG35W15XB2EHI98J24","A38E7ACIFKA1A9","Approved","Wed Apr 17 06:02:50 PDT 2019","Wed Apr 17 06:03:46 PDT 2019","Sat Apr 20 06:03:46 PDT 2019","2019-04-20 13:04:02 UTC","","","56","100% (1/1)","100% (1/1)","0% (0/0)","Classical Music","Mental Health","Nutrition","Thrift Shopping"
"3H6W48L9F4GAQN6GFWUM8LKVNO1WPM","3PCDMC3F65SCD7JJHVLDY7J0H612X3","List Topics you are Knowledgeable About","List the top 4 topics that you are familiar with","knowledge, topics, survey","$0.01","Fri Apr 12 12:44:10 PDT 2019","500","BatchId:3605249;OriginalHitTemplateId:928390855;","3600","259200","Tue Apr 30 12:01:56 PDT 2019","","","3137ONMDKHWCIUPKHFFVGQVQP6MEGC","A31FX3592B5P0F","Approved","Wed Apr 24 16:00:19 PDT 2019","Wed Apr 24 16:02:18 PDT 2019","Sat Apr 27 16:02:18 PDT 2019","2019-04-27 23:03:05 UTC","","","119","100% (1/1)","100% (1/1)","100% (1/1)","Education","Art","Music","Spanish"
"3H6W48L9F4GAQN6GFWUM8LKVNO1WPM","3PCDMC3F65SCD7JJHVLDY7J0H612X3","List Topics you are Knowledgeable About","List the top 4 topics that you are familiar with","knowledge, topics, survey","$0.01","Fri Apr 12 12:44:10 PDT 2019","500","BatchId:3605249;OriginalHitTemplateId:928390855;","3600","259200","Tue Apr 30 12:01:56 PDT 2019","","","3137ONMDKHWCIUPKHFFVGQVQPGLEGV","A59L67EZKMC3V","Approved","Thu Apr 25 20:03:15 PDT 2019","Thu Apr 25 20:04:13 PDT 2019","Sun Apr 28 20:04:13 PDT 2019","2019-04-29 03:05:05 UTC","","","58","100% (1/1)","100% (1/1)","100% (1/1)","Differentiation in teaching students","Reading instruction","Alabama History","Auburn Football"
